"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.,Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.
Could not save company: %1,Could not save company: %1
Cannot delete structure with id %1,Cannot delete structure with id %1
Could not create team,Could not create team
This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.,This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.
Could not update team,Could not update team
Cannot delete team with id %1,Cannot delete team with id %1
You cannot assign a different role to a company admin.,Anda tidak dapat menetapkan wewenang berbeda ke admin perusahaan.
You cannot assign multiple roles to a user.,Anda tidak dapat menetapkan wewenang rangkap ke satu pengguna.
Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.,Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.
Something went wrong,Terjadi beberapa kesalahan
This customer company account is blocked and customer cannot place orders.,This customer company account is blocked and customer cannot place orders.
The consumer isn't authorized to access resource.,The consumer isn't authorized to access resource.
 - Duplicated, - Duplicated
message,pesan
Exception message,Pesan kesalahan
test,uji
phrase,phrase
exception,kesalahan
Localized Exception.,Kesalahan dalam Bahasa Lokal.
Error message,Pesan eror
No such entity.,No such entity.
error message,pesan eror
Could not save role,Tidak dapat menyimpan wewenang
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
Cannot delete team,Cannot delete team
Role Name,Nama Wewenang
Role Name 15,Nama Wewenang 15
Edit,Ubah
Delete,Hapus
Duplicate,Duplicate
Company Name,Company Name
Customer Type:,Customer Type:
Company:,Company:
Company Information,Company Information
Company Legal Name,Company Legal Name
Company Email,Company Email
VAT/TAX ID,VAT/TAX ID
Re-seller ID,Re-seller ID
Legal Address,Legal Address
Street Address,Alamat jalan
City,Kota
Country,Negara
State/Province,Negara Bagian/Provinsi
"Please select a region, state or province.","Silakan pilih wilayah, negara bagian atau provinsi."
ZIP/Postal Code,Kode pos
Phone Number,Nomor telepon
Company Administrator,Company Administrator
Job Title,Job Title
Email,E-mail
Submit,Menyerahkan
New Company Account,New Company Account
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more."
Create a Company Account,Create a Company Account
Business Structure,Business Structure
Expand All,Melebarkan semua
Collapse All,Tutup Semua
Add User,Add User
Add Team,Add Team
Edit Selected,Edit Selected
Delete Selected,Delete Selected
Error,Kesalahan
User Role,Wewenang Pengguna
First Name,Nama depan
Last Name,Nama Belakang
Status,Subjek
Team Title,Team Title
Description,Deskripsi
You don't have a company account yet.,You don't have a company account yet.
Account Information,Informasi Akun
VAT/TAX ID: ,VAT/TAX ID:
Re-seller ID: ,Re-seller ID:
You have no other address entries in your address book.,Anda tidak memiliki entri alamat lain di buku alamat Anda.
T: %1,T: %1
Contacts,Kontak
Sales Representative,Perwakilan Penjualan
Role Information,Informasi Wewenang
Role Permissions,Izin Wewenang
Save Role,Simpan Wewenang
Add New User,Tambahkan pengguna baru
Company,Perusahaan
Create an Account,Buat sebuah akun
Change,Perubahan
This action will replace your Company Admin.,This action will replace your Company Admin.
* Your latest changes on the company profile have not been saved yet.,* Your latest changes on the company profile have not been saved yet.
"Dear %name,","Dear %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin."
"When you sign in to your account, you can:","When you sign in to your account, you can:"
* Create and manage company users and teams,* Create and manage company users and teams
* Manage user permissions for the store,* Manage user permissions for the store
* Create and manage company shipping and billing addresses,* Create and manage company shipping and billing addresses
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.,module,Magento_Company
Once you enter your account,,module,Magento_Company
the company's shared resources will be available for you.","You've been added to the <a href=%customer_url>%company_name</a> as the company member.,module,Magento_Company
Once you enter your account,,module,Magento_Company
the company's shared resources will be available for you."
"If this is a mistake,,module,Magento_Company
please contact the company Admin at %company_admin_email.","If this is a mistake,,module,Magento_Company
please contact the company Admin at %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>."
Your account is no longer active. You will not be able to use it for login.,Your account is no longer active. You will not be able to use it for login.
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details."
A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.,A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.
Company: %company,Company: %company
"Your company registration request (for the <strong>%company_name</strong>),module,Magento_Company
has been approved and you have been set as the Company Admin.,module,Magento_Company
You can now create and manage your company structure.,module,Magento_Company
Your company members are able to request quotes, create requisition lists,,module,Magento_Company
and use other B2B features.","Your company registration request (for the <strong>%company_name</strong>),module,Magento_Company
has been approved and you have been set as the Company Admin.,module,Magento_Company
You can now create and manage your company structure.,module,Magento_Company
Your company members are able to request quotes, create requisition lists,,module,Magento_Company
and use other B2B features."
"The status of your company <strong>%company_name</strong>,module,Magento_Company
is now <strong>Active</strong>.,module,Magento_Company
Once you login, you will be able to place orders on behalf of your company,module,Magento_Company
and use other B2B features.","The status of your company <strong>%company_name</strong>,module,Magento_Company
is now <strong>Active</strong>.,module,Magento_Company
Once you login, you will be able to place orders on behalf of your company,module,Magento_Company
and use other B2B features."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details."
"%name,","%nama,"
You have been assigned to %company_name as the Sales Representative.,You have been assigned to %company_name as the Sales Representative.
"When you sign in to your account, you will be able to:","Saat masuk ke akun, Anda dapat:"
* View and manage company quotes in Admin Panel,* View and manage company quotes in Admin Panel
* View and edit company profile in Admin Panel,* View and edit company profile in Admin Panel
"Your company account <strong>%company_name</strong> has been blocked.,module,Magento_Company
Your company members can continue using the website,,module,Magento_Company
but they will not be able to place orders.","Your company account <strong>%company_name</strong> has been blocked.,module,Magento_Company
Your company members can continue using the website,,module,Magento_Company
but they will not be able to place orders."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected,module,Magento_Company
for the following reason:","Your company registration request (for the <strong>%company_name</strong>) has been rejected,module,Magento_Company
for the following reason:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive."
Delete a Company?,Delete a Company?
Cancel,Batal
Are you sure you want to do this?,Apakah Anda yakin ingin melakukan ini?
Sorry! You cannot delete this user: The user is the company admin.,Sorry! You cannot delete this user: The user is the company admin.
Cannot Delete the Company Admin,Cannot Delete the Company Admin
Done,Selesai
No results,No results
options,pilihan
Proceed,Proceed
Change Company Status?,Change Company Status?
Change status,Merubah status
Popup title,Popup title
Cannot delete the user,Cannot delete the user
This user cannot be deleted because he/she is a company admin.,This user cannot be deleted because he/she is a company admin.
Edit User,Ubah pengguna
Cannot Delete User,Cannot Delete User
Delete this user?,Delete this user?
This action cannot be undone. Are you sure you want to delete this user?,This action cannot be undone. Are you sure you want to delete this user?
Edit Team,Edit Team
Cannot Delete This Team,Cannot Delete This Team
Delete this team?,Delete this team?
This action cannot be undone. Are you sure you want to delete this team?,This action cannot be undone. Are you sure you want to delete this team?
Delete This Role?,Hapus Wewenang Ini?
This action cannot be undone. Are you sure you want to delete this role?,Tindakan ini tidak dapat dikembalikan. Apakah Anda yakin ingin menghapus wewenang ini?
Cannot Delete Role,Tidak Dapat Menghapus Wewenang
Cannot Delete Customer,Cannot Delete Customer
Set Inactive,Set Inactive
Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.,Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller."
